language,watchers_count,open_issues_count,commit_count,contributors_count,stars_count,forks_count,size,days_since_last_commit,source_code_url,owner,repo
C++,5,0,141,3,5,5,7481,66,https://github.com/konjungate/konjungate-core,konjungate,konjungate-core
Solidity,0,0,5,0,0,0,11,66,https://github.com/muskardashian/muskardashian-token,muskardashian,muskardashian-token
C++,59,21,17262,334,59,28,93018,169,https://github.com/duality-solutions/dynamic,duality-solutions,dynamic
"",2,0,4,2,2,1,4,532,https://github.com/quiverx/quiverx,quiverx,quiverx
Solidity,0,0,4,2,0,0,15,131,https://github.com/xceldefi/xceldefi-contract-audit,xceldefi,xceldefi-contract-audit
Solidity,21,0,15,0,21,18,129,164,https://github.com/waultfinance/wault,waultfinance,wault
JavaScript,4,2,76,2,4,2,32012,1269,https://github.com/digitalgoldexchange/the-midas-touch-gold,digitalgoldexchange,the-midas-touch-gold
Svelte,7,0,202,0,7,1,2027,98,https://github.com/natclark/arbucks,natclark,arbucks
Solidity,0,0,18,0,0,1,230,243,https://github.com/eic0/cleanocean,eic0,cleanocean
"",0,0,0,0,0,0,0,2459602,https://github.com/developerjkcoin/smartcontract.git,developerjkcoin,smartcontract.git
Rust,93,4,1372,15,93,12,81673,4,https://github.com/masq-project/node,masq-project,node
Solidity,0,0,6,0,0,0,294,208,https://github.com/ucoincurrency/ucoin,ucoincurrency,ucoin
"",5,0,22,0,5,0,35957,7,https://github.com/innovativebioresearch/innovativebioresearch,innovativebioresearch,innovativebioresearch
HTML,0,0,59,5,0,7,120416,545,https://github.com/cryptopinions3/meridian,cryptopinions3,meridian
"",0,0,0,0,0,0,0,2459602,https://github.com/c4g3m4st3r/governance,c4g3m4st3r,governance
C++,5,0,24,3,5,9,6634,1164,https://github.com/genterium-project/gentarium,genterium-project,gentarium
"",0,0,0,0,0,0,0,2459602,https://github.com/spydrzero/unidollar,spydrzero,unidollar
Solidity,1,0,1,0,1,0,19,122,https://github.com/ojetoken/ojetoken,ojetoken,ojetoken
"",1,5,9,0,1,0,6306,94,https://github.com/brunoziye/gm,brunoziye,gm
"",0,0,0,0,0,0,0,2459602,https://github.com/inexproject/inex_token.git,inexproject,inex_token.git
"",0,0,9,0,0,0,20,633,https://github.com/rebitlabs/keyboardtoken,rebitlabs,keyboardtoken
