language,watchers_count,open_issues_count,commit_count,contributors_count,stars_count,forks_count,size,days_since_last_commit,source_code_url,owner,repo
Solidity,0,0,34,0,0,0,104,66,https://github.com/georges98/gull,georges98,gull
"",5,0,6,0,5,3,7,872,https://github.com/stakinglab/stakinglab,stakinglab,stakinglab
"",0,0,0,0,0,0,0,2459602,https://github.com/horuspay/horustokenio,horuspay,horustokenio
"",0,0,0,0,0,0,0,2459602,https://github.com/g0ssipcoin/gossipcoincore,g0ssipcoin,gossipcoincore
Rust,22,0,99,4,22,7,6637,79,https://github.com/trustbase/trustbase,trustbase,trustbase
"",15,0,74,5,15,4,73,64,https://github.com/waves-enterprise/we-releases,waves-enterprise,we-releases
Solidity,1,0,19,0,1,0,52,88,https://github.com/lunachoww/contract,lunachoww,contract
Solidity,0,0,3,0,0,0,1452,57,https://github.com/burntcakefinance/burntcakecontract,burntcakefinance,burntcakecontract
JavaScript,20,0,1,0,20,3,4,1577,https://github.com/bibox365/bixtoken,bibox365,bixtoken
Solidity,0,0,3,0,0,0,7,53,https://github.com/doges-amongus/doges-amongus-contract,doges-amongus,doges-amongus-contract
Solidity,0,0,20,2,0,0,33518,53,https://github.com/seastarinteractive/moonscape,seastarinteractive,moonscape
Solidity,10,1,2,0,10,2,6,121,https://github.com/senspark/bombcrypto,senspark,bombcrypto
C++,516,43,1380,4,516,259,13411,67,https://github.com/multichain/multichain,multichain,multichain
C++,16,0,9643,249,16,21,163444,388,https://github.com/swap-dev/swap,swap-dev,swap
"",1,0,113,7,1,0,3748,400,https://github.com/sparkpointio/venus-protocol,sparkpointio,venus-protocol
Solidity,0,0,23,2,0,1,211,82,https://github.com/simptoken/simp,simptoken,simp
C++,13,2,1027,10,13,10,19197,157,https://github.com/prcycoin/prcycoin,prcycoin,prcycoin
"",0,0,7,0,0,0,8,922,https://github.com/xenoverseio/xenoverse,xenoverseio,xenoverse
Solidity,0,0,43,3,0,0,205,262,https://github.com/yfswapfinance/yfbtc-contract,yfswapfinance,yfbtc-contract
"",0,0,7,0,0,0,8,922,https://github.com/xenoverseio/xenoverse,xenoverseio,xenoverse
Solidity,1,0,6,0,1,0,1412,85,https://github.com/animoca/quidd-ethereum-contracts,animoca,quidd-ethereum-contracts
"",1,5,9,0,1,0,6306,94,https://github.com/brunoziye/gm,brunoziye,gm
JavaScript,0,0,3,0,0,0,71771,221,https://github.com/eaglecoincore/core,eaglecoincore,core
Solidity,4,0,2,0,4,7,63,418,https://github.com/infinigold-pty-ltd/pmgt-contracts,infinigold-pty-ltd,pmgt-contracts
HTML,6,0,126,2,6,6,1676,1380,https://github.com/altestate/altestate,altestate,altestate
Solidity,2,0,36,0,2,9,192,254,https://github.com/unilock1/unilock,unilock1,unilock
"",2,0,1,0,2,1,7,240,https://github.com/keisukeinu/hinainu,keisukeinu,hinainu
Solidity,1,0,2,0,1,1,12,82,https://github.com/idmcoopsocial/idmtoken,idmcoopsocial,idmtoken
"",3,1,10,0,3,2,248,572,https://github.com/stonkdev/stonk,stonkdev,stonk
TypeScript,1,5,364,6,1,7,14769,534,https://github.com/singulardtv/snglsdao-smartcontracts,singulardtv,snglsdao-smartcontracts
"",0,0,0,0,0,0,0,2459602,https://github.com/vertcoin/vertcoin,vertcoin,vertcoin
Solidity,0,0,12,0,0,1,25,423,https://github.com/pando-browser/pando-token,pando-browser,pando-token
"",0,0,0,0,0,0,0,2459602,https://github.com/bitcrusharcade/contracts,bitcrusharcade,contracts
JavaScript,115,37,2830,12,115,121,54481,18,https://github.com/liquity/dev,liquity,dev
"",0,0,0,0,0,0,0,2459602,https://github.com/flamatoken/flama,flamatoken,flama
C++,38,3,1136,13,38,67,33741,738,https://github.com/cryptozoidberg/boolberry,cryptozoidberg,boolberry
C++,11,1,38,3,11,17,45900,906,https://github.com/globalboost/globalboost-y,globalboost,globalboost-y
"",6,2,7,0,6,1,9,508,https://github.com/carrotfinance/carrot-finance,carrotfinance,carrot-finance
"",0,0,0,0,0,0,0,2459602,https://github.com/ilcoindevteam/ilcoin-master,ilcoindevteam,ilcoin-master
"",0,0,4,0,0,3,106,1188,https://github.com/mpg1977/howdoo.token.contracts,mpg1977,howdoo.token.contracts
Solidity,15,0,119,3,15,9,7634,1291,https://github.com/airbloc/token,airbloc,token
"",2,0,4,2,2,1,4,532,https://github.com/quiverx/quiverx,quiverx,quiverx
"",2,0,2,0,2,0,3,1241,https://github.com/havytoken/smartcontract,havytoken,smartcontract
Solidity,1,0,2,0,1,1,6,262,https://github.com/artexapp/platform-contracts,artexapp,platform-contracts
C++,10,0,41,0,10,2,8573,311,https://github.com/bixbcoin/bixbcoin-core,bixbcoin,bixbcoin-core
"",0,0,2,0,0,0,1,156,https://github.com/terraworld/terraworld,terraworld,terraworld
C++,1139,35,27872,348,1139,364,148080,58,https://github.com/qtumproject/qtum,qtumproject,qtum
C++,725,0,1,0,725,738,47148,51,https://github.com/turtlecoin/turtlecoin,turtlecoin,turtlecoin
C++,6,0,58,4,6,6,17832,310,https://github.com/blockidchain/blockidcoin,blockidchain,blockidcoin
"",0,0,0,0,0,0,0,2459602,https://github.com/bodatoken/boda-token,bodatoken,boda-token
Solidity,1,0,1,0,1,2,29,91,https://github.com/blkbirdscollective/yarloo_token,blkbirdscollective,yarloo_token
Solidity,0,0,1,0,0,0,7,58,https://github.com/monkey-shanti/shibametaverse,monkey-shanti,shibametaverse
JavaScript,13,0,7,2,13,6,32,1202,https://github.com/phenom-company/smartcontract-cryptoindex,phenom-company,smartcontract-cryptoindex
Solidity,0,0,16,0,0,0,109,291,https://github.com/quam-network/quamr_public,quam-network,quamr_public
"",4,0,8,2,4,2,610,915,https://github.com/ubrica/ubricoin_contract,ubrica,ubricoin_contract
"",0,0,0,0,0,0,0,2459602,https://github.com/safecapital/scap-coin,safecapital,scap-coin
C++,5,1,17,0,5,1,6534,1092,https://github.com/snodeco/snode-coin,snodeco,snode-coin
Solidity,0,0,2,0,0,0,17,82,https://github.com/zilladoge/zilladoge-token,zilladoge,zilladoge-token
C++,0,0,2,0,0,2,2140,2163,https://github.com/independentmoneysystem/imscoin,independentmoneysystem,imscoin
Rust,5183,465,2882,153,5183,1094,736940,1,https://github.com/paritytech/polkadot,paritytech,polkadot
"",0,0,0,0,0,0,0,2459602,https://github.com/localcoinswap/cryptoshares,localcoinswap,cryptoshares
"",0,0,3,0,0,1,6,582,https://github.com/rewardiqa/rewardiqa-token,rewardiqa,rewardiqa-token
"",0,0,0,0,0,0,0,2459602,https://github.com/enigmampc/secretswap,enigmampc,secretswap
C++,19,0,32,3,19,12,6821,530,https://github.com/bitblocksproject/bitblocks,bitblocksproject,bitblocks
"",47,2,166,2,47,8,326129,11,https://github.com/halbornsecurity/publicreports,halbornsecurity,publicreports
Solidity,71,13,8,4,71,52,2385,354,https://github.com/paxosglobal/busd-contract,paxosglobal,busd-contract
C++,62,39,4163,118,62,62,73479,1828,https://github.com/nochowderforyou/clams,nochowderforyou,clams
Solidity,0,0,3,0,0,0,8,61,https://github.com/floki-loves-cardano/fada-token,floki-loves-cardano,fada-token
"",10,0,1,0,10,1,2,942,https://github.com/dynamitetoken/dynamite,dynamitetoken,dynamite
JavaScript,2,0,30,0,2,1,2124,1397,https://github.com/bioniccoin/bnc,bioniccoin,bnc
Solidity,12,1,46,0,12,4,171,206,https://github.com/growingfi/contracts,growingfi,contracts
Solidity,0,0,1,0,0,0,6,115,https://github.com/gogetainu/gogetainu,gogetainu,gogetainu
TypeScript,0,0,29,2,0,0,5639,52,https://github.com/doubledice-com/doubledice-token,doubledice-com,doubledice-token
C++,31,11,351,3,31,16,46038,330,https://github.com/willythecat/bitcash,willythecat,bitcash
C++,26,17,214,6,26,36,4429,208,https://github.com/emarkproject/emark,emarkproject,emark
"",21,1,15,2,21,12,9,1428,https://github.com/aeronaero/aeron,aeronaero,aeron
Java,93,8,8464,24,93,41,111105,4,https://github.com/apollofoundation/apollo,apollofoundation,apollo
JavaScript,15,7,996,4,15,11,2091,62,https://github.com/silentnotaryecosystem/cil-core,silentnotaryecosystem,cil-core
Solidity,5,0,17,2,5,1,932,269,https://github.com/frenchie-foundation/contract,frenchie-foundation,contract
C++,8,2,14,0,8,9,4860,528,https://github.com/decoinio/dtep,decoinio,dtep
Solidity,0,0,1,0,0,0,5,109,https://github.com/pandainu/pwt-contracts,pandainu,pwt-contracts
"",15,0,695,29,15,51,3878,15,https://github.com/verynifty/nft20-assets,verynifty,nft20-assets
Python,8,3,43,2,8,9,3185,410,https://github.com/wwwztcom/ztgroup-offical-api-docs,wwwztcom,ztgroup-offical-api-docs
Solidity,1,0,11,0,1,0,127,212,https://github.com/steamexchange/steamx.sol,steamexchange,steamx.sol
JavaScript,86,22,96,10,86,68,1770,249,https://github.com/wrappedbtc/bitcoin-token-smart-contracts,wrappedbtc,bitcoin-token-smart-contracts
Java,4,0,1,0,4,0,620,278,https://github.com/kohochain/kohochain,kohochain,kohochain
JavaScript,4,0,15,0,4,2,59,1333,https://github.com/mvlchain/mvltoken,mvlchain,mvltoken
HTML,9,0,23,3,9,3,11962,4,https://github.com/lunchmoneytoken/lunchmoney,lunchmoneytoken,lunchmoney
Solidity,3,0,5,0,3,0,376,17,https://github.com/phugt/aspoerc20,phugt,aspoerc20
Solidity,0,0,6,0,0,0,27,219,https://github.com/phoenixdefi/phoenixdeficontract,phoenixdefi,phoenixdeficontract
Solidity,6,0,47,3,6,7,4246,16,https://github.com/soteria-core/soteria,soteria-core,soteria
JavaScript,10,1,21,2,10,2,1943,42,https://github.com/coti-io/cvi-contracts,coti-io,cvi-contracts
Vue,545,82,3214,53,545,244,526103,0,https://github.com/cryptoblades/cryptoblades,cryptoblades,cryptoblades
JavaScript,0,0,1,0,0,0,35,684,https://github.com/cenfura/cenfura-token,cenfura,cenfura-token
C++,5,0,53,0,5,8,4487,60,https://github.com/edcblockchain/blockchain,edcblockchain,blockchain
"",0,0,0,0,0,0,0,2459602,https://github.com/praneshasp/bundles-finance,praneshasp,bundles-finance
C++,19,1,492,2,19,20,9631,44,https://github.com/crypto-currency/litecoinplus,crypto-currency,litecoinplus
C++,17,0,49,4,17,7,10903,774,https://github.com/boli-project/bolivarcoin,boli-project,bolivarcoin
TypeScript,1,0,8338,452,1,0,405567,188,https://github.com/ainutokenofficial/assets,ainutokenofficial,assets
Solidity,3,0,28,0,3,5,5338,30,https://github.com/levernetwork/protocol-v1,levernetwork,protocol-v1
"",0,0,2,0,0,0,8,139,https://github.com/griffinartfinance/gartcontract,griffinartfinance,gartcontract
C++,0,0,20,4,0,3,7594,349,https://github.com/croatapps/croat,croatapps,croat
"",1,0,2,0,1,1,12,147,https://github.com/gokuinu/gokuinu,gokuinu,gokuinu
Solidity,41,1,3,0,41,3,14,199,https://github.com/bnbpay/bnbpay,bnbpay,bnbpay
C,4,1,1315,16,4,9,67095,2,https://github.com/innova-foundation/innova,innova-foundation,innova
Solidity,10,1,5,0,10,6,18,215,https://github.com/sonaranalytics/ping-smart-contract,sonaranalytics,ping-smart-contract
Rust,33,3,455,3,33,13,15285,4,https://github.com/stafiprotocol/stafi-node,stafiprotocol,stafi-node
Solidity,7,0,6,0,7,0,605,349,https://github.com/n3rd-finance/n3rd-finance-contracts,n3rd-finance,n3rd-finance-contracts
"",0,0,0,0,0,0,0,2459602,https://github.com/mox-project/mox,mox-project,mox
Python,2,0,1,0,2,0,35,124,https://github.com/bit2me-devs/bit2me-token,bit2me-devs,bit2me-token
"",0,0,4,0,0,0,17,761,https://github.com/benepit/erccontracts,benepit,erccontracts
Solidity,1,0,3,0,1,1,17,70,https://github.com/ecchi-devs/ecchi-contract,ecchi-devs,ecchi-contract
C++,41,0,67,4,41,21,9896,661,https://github.com/limxtec/bitcloud,limxtec,bitcloud
C#,177,151,3849,24,177,83,1066482,2,https://github.com/planetarium/ninechronicles,planetarium,ninechronicles
Solidity,0,0,7,0,0,1,18,492,https://github.com/sinestcorp/adappter,sinestcorp,adappter
"",2,0,7,0,2,0,11,612,https://github.com/hupayx/hpx,hupayx,hpx
JavaScript,2,0,3,0,2,0,6,249,https://github.com/kakanft/kaka-nft,kakanft,kaka-nft
Solidity,9,1,11,0,9,6,35,118,https://github.com/gamefishiba/gamefi,gamefishiba,gamefi
C++,24,1,15269,338,24,7,89731,22,https://github.com/ycashfoundation/ycash,ycashfoundation,ycash
C++,531,55,6328,68,531,168,277808,2,https://github.com/gridcoin-community/gridcoin-research,gridcoin-community,gridcoin-research
JavaScript,0,1,8,2,0,3,3866,410,https://github.com/tranche-jibrel/loan-contracts,tranche-jibrel,loan-contracts
C++,1922,355,5572,68,1922,785,29234,702,https://github.com/steemit/steem,steemit,steem
C++,5,0,32,4,5,3,3716,1733,https://github.com/postcoindevelopers/postcoin,postcoindevelopers,postcoin
C++,13,10,827,6,13,43,7329,1332,https://github.com/transferdev/transfercoin,transferdev,transfercoin
"",0,0,0,0,0,0,0,2459602,https://github.com/xam-darnold/steak-public-contracts,xam-darnold,steak-public-contracts
Solidity,0,0,25,0,0,2,1974,80,https://github.com/pussycat-token/pussycat,pussycat-token,pussycat
C++,79,14,516,15,79,51,20308,476,https://github.com/ryo-currency/ryo-currency,ryo-currency,ryo-currency
"",0,0,4,0,0,0,4,1130,https://github.com/spt-spectrum/spectrum-info,spt-spectrum,spectrum-info
Solidity,4,0,3,0,4,2,16,204,https://github.com/electro-magic/projectquantum,electro-magic,projectquantum
"",3,0,2,0,3,2,6,1264,https://github.com/bqtio/bqt,bqtio,bqt
"",0,1,7,0,0,0,1152,771,https://github.com/isikc-code/isik-coin,isikc-code,isik-coin
JavaScript,6,1,452,7,6,4,583,176,https://github.com/waves-exchange/neutrino-contract,waves-exchange,neutrino-contract
"",0,0,0,0,0,0,0,2459602,https://github.com/zincwork/token,zincwork,token
C++,90,31,31762,346,90,49,139380,121,https://github.com/x9developers/xsn,x9developers,xsn
Solidity,2,0,1,0,2,0,9,123,https://github.com/nftylabs/token,nftylabs,token
"",0,1,7,0,0,0,1152,771,https://github.com/isikc-code/isik-coin,isikc-code,isik-coin
"",0,0,0,0,0,0,0,2459602,https://github.com/nftopia/nftopia-contract-beta,nftopia,nftopia-contract-beta
JavaScript,3,1,17,2,3,1,950,26,https://github.com/trust-zcom/gmotrust-stablecoin-contract,trust-zcom,gmotrust-stablecoin-contract
Go,1,8,156,6,1,3,6348,852,https://github.com/uranusblockstack/uranus,uranusblockstack,uranus
"",265,0,9,0,265,26,18,757,https://github.com/mysynchronium/synchrobit,mysynchronium,synchrobit
Solidity,9,0,3,0,9,5,579,214,https://github.com/polycrystal/polycrystal-contracts,polycrystal,polycrystal-contracts
HTML,17,2,24,2,17,15,592250,1141,https://github.com/micro-money/prime,micro-money,prime
"",8,3,38,3,8,6,933,14,https://github.com/fildaio/filda,fildaio,filda
CSS,0,0,59,2,0,0,5704,371,https://github.com/passive-income-001/passive-income,passive-income-001,passive-income
TypeScript,1,0,16,3,1,0,1606,123,https://github.com/blockben-official/bnox,blockben-official,bnox
C++,28,0,10633,277,28,17,92245,1180,https://github.com/dmdcoin/diamond,dmdcoin,diamond
"",0,0,3,0,0,0,2,951,https://github.com/servidorescloud/mdtoken,servidorescloud,mdtoken
JavaScript,0,2,96,11,0,11,2164,30,https://github.com/pagedao/pagedao-docsite,pagedao,pagedao-docsite
Solidity,4,0,73,0,4,2,408,98,https://github.com/qanplatform/qanx-token,qanplatform,qanx-token
"",0,0,0,0,0,0,0,2459602,https://github.com/nixplatform/nix-bridge-token,nixplatform,nix-bridge-token
"",171,13,792,0,171,33,654496,0,https://github.com/solidproof/smart-contract-audits,solidproof,smart-contract-audits
C++,97,11,15458,198,97,32,144197,682,https://github.com/eosforce/eosforce,eosforce,eosforce
C++,11,0,3,0,11,10,1334,1466,https://github.com/nasdacoin/nasdacoin,nasdacoin,nasdacoin
C++,4063,345,12584,95,4063,1325,606669,10,https://github.com/ripple/rippled,ripple,rippled
"",0,0,2,0,0,2,3,1598,https://github.com/evencoinevn/evencoin,evencoinevn,evencoin
"",0,0,3,0,0,1,19,661,https://github.com/ethermon/ethereum,ethermon,ethereum
Solidity,0,0,1,0,0,2,9,57,https://github.com/christmasflokix/christmasflokix,christmasflokix,christmasflokix
C++,53,13,5854,195,53,40,50997,1202,https://github.com/freicoin/freicoin,freicoin,freicoin
C++,2,0,3,0,2,0,2687,607,https://github.com/1x2coin/1x2coin,1x2coin,1x2coin
C++,51,3,11597,350,51,41,64238,294,https://github.com/cannabiscoindev/cannabiscoin420,cannabiscoindev,cannabiscoin420
Solidity,0,0,3,0,0,0,51,85,https://github.com/ponyo-inu/ponyoinucontracts,ponyo-inu,ponyoinucontracts
Solidity,0,0,3,0,0,0,29,64,https://github.com/superpoocoin/superpoo,superpoocoin,superpoo
"",0,0,0,0,0,0,0,2459602,https://github.com/cryptounited/supercoin,cryptounited,supercoin
"",1,0,3,0,1,1,1,100,https://github.com/attrace/crowdsale,attrace,crowdsale
"",1,0,3,2,1,2,1579,1270,https://github.com/owndata/owndata-token,owndata,owndata-token
"",1,0,17,2,1,0,481,1016,https://github.com/teamzikto/contract,teamzikto,contract
C++,10,1,109,2,10,6,9025,95,https://github.com/pluracoin/pluracoin,pluracoin,pluracoin
"",1,0,3,0,1,1,1,100,https://github.com/attrace/crowdsale,attrace,crowdsale
Solidity,0,0,2,0,0,1,5,459,https://github.com/moneyswapoffcial/solcode,moneyswapoffcial,solcode
C++,1,0,2,0,1,0,3281,1720,https://github.com/mustangcoin/mst-v3,mustangcoin,mst-v3
"",0,0,0,0,0,0,0,2459602,https://github.com/savixorg/savix,savixorg,savix
JavaScript,4,0,4,0,4,5,161,372,https://github.com/the-poolz/poolztoken,the-poolz,poolztoken
Solidity,17,0,69,0,17,4,6746,290,https://github.com/computercybersecurity/decentralizedoracle,computercybersecurity,decentralizedoracle
Solidity,1317,25,318,22,1317,1082,1648,66,https://github.com/sushiswap/sushiswap,sushiswap,sushiswap
C++,6,1,2,0,6,3,29713,1079,https://github.com/pakcoin-project/pakcoin,pakcoin-project,pakcoin
Solidity,3,0,9,0,3,1,102,99,https://github.com/mensapro/mensa-protocol,mensapro,mensa-protocol
JavaScript,1,0,83,2,1,0,332,890,https://github.com/nucocloud/ncd-token,nucocloud,ncd-token
"",0,0,2,0,0,0,13,251,https://github.com/pathfund/pathfund,pathfund,pathfund
"",0,0,0,0,0,0,0,2459602,https://github.com/onecash/onecash-protocol,onecash,onecash-protocol
Python,613,17,898,10,613,233,1549,238,https://github.com/curvefi/curve-contract,curvefi,curve-contract
JavaScript,5,0,57,0,5,4,319,970,https://github.com/temcolabs/token,temcolabs,token
Java,0,0,5,0,0,0,5,369,https://github.com/delphichainlink/dcl,delphichainlink,dcl
C++,2,0,4,2,2,0,21,494,https://github.com/ystar-foundation/ysr.ystar,ystar-foundation,ysr.ystar
"",34,0,51,2,34,2,15880,2,https://github.com/hashex/public_audits,hashex,public_audits
"",14,2,2,2,14,8,3,1900,https://github.com/blockcdnteam/bcdnico,blockcdnteam,bcdnico
Solidity,0,0,2,0,0,0,17,64,https://github.com/avonatrollcity/atrollcity,avonatrollcity,atrollcity
Solidity,2,0,25,2,2,2,1907,154,https://github.com/tarot-finance/tarot-token,tarot-finance,tarot-token
C++,6,0,24,3,6,11,3318,471,https://github.com/scrivnetwork/scriv,scrivnetwork,scriv
C++,3,1,13156,347,3,3,31703,28,https://github.com/plncoin/plncoin_core,plncoin,plncoin_core
"",0,0,0,0,0,0,0,2459602,https://github.com/kong-org/citizen-erc20,kong-org,citizen-erc20
"",0,0,0,0,0,0,0,2459602,https://github.com/cultiplan/cultiplan.git,cultiplan,cultiplan.git
Solidity,5,0,263,8,5,4,622,395,https://github.com/basisdollar/basisdollar-protocol,basisdollar,basisdollar-protocol
JavaScript,0,2,1,0,0,0,639,50,https://github.com/pintu-crypto/pub-pintu-token-official,pintu-crypto,pub-pintu-token-official
C++,99,18,1162,20,99,64,25666,0,https://github.com/seredat/karbowanec,seredat,karbowanec
TypeScript,0,0,130,6,0,0,6285,99,https://github.com/buffaloswap/redbuff-uikit,buffaloswap,redbuff-uikit
"",0,0,0,0,0,0,0,2459602,https://github.com/educationekt/ekt,educationekt,ekt
Solidity,0,0,1,0,0,0,15,164,https://github.com/xrpapes/xrpapes,xrpapes,xrpapes
Solidity,0,0,1,0,0,0,7,318,https://github.com/stingdefi/sdfi,stingdefi,sdfi
"",0,0,1,0,0,0,3,74,https://github.com/wallstreetinu/contract,wallstreetinu,contract
Solidity,1,0,1,0,1,1,6,122,https://github.com/loudmarket/loudmarket,loudmarket,loudmarket
"",0,0,1,0,0,0,7,84,https://github.com/profitbls/profit.sol,profitbls,profit.sol
"",5,0,22,0,5,0,35957,7,https://github.com/innovativebioresearch/innovativebioresearch,innovativebioresearch,innovativebioresearch
HTML,8,0,537,5,8,5,428131,14,https://github.com/jupiter-project/jupiter,jupiter-project,jupiter
C++,2,10,31613,108,2,3,47004,150,https://github.com/petrachor/petrachor,petrachor,petrachor
Go,11,19,596,7,11,5,128871,25,https://github.com/orientwalt/htdf,orientwalt,htdf
"",0,0,0,0,0,0,0,2459602,https://github.com/rockstardotb/dogex,rockstardotb,dogex
C++,13719,163,13953,348,13719,2452,168138,76,https://github.com/dogecoin/dogecoin,dogecoin,dogecoin
"",1,0,8,0,1,2,11,1143,https://github.com/yukiproject/token,yukiproject,token
JavaScript,428,35,1853,16,428,175,13548,30,https://github.com/maticnetwork/contracts,maticnetwork,contracts
"",0,0,2,0,0,0,3,884,https://github.com/crobinsonoc/globalgaming-,crobinsonoc,globalgaming-
"",9,0,4,0,9,1,9,1340,https://github.com/robotinaico/token,robotinaico,token
Solidity,0,0,2,0,0,2,9,61,https://github.com/shibagame/shibagames,shibagame,shibagames
"",6,0,2,0,6,5,4,858,https://github.com/kickecosystem/kicktoken_final,kickecosystem,kicktoken_final
"",2,0,2,0,2,4,1,833,https://github.com/stcoins/husd,stcoins,husd
"",0,0,0,0,0,0,0,2459602,https://github.com/earthtokeneth/earthtoken,earthtokeneth,earthtoken
Go,0,0,11542,413,0,1,139100,522,https://github.com/fsccoin/go-fsc,fsccoin,go-fsc
C++,1,0,21259,356,1,0,207072,293,https://github.com/c-sports/cspn,c-sports,cspn
C++,3,0,7075,156,3,6,178323,135,https://github.com/electronero-pulse/electroneropulse,electronero-pulse,electroneropulse
JavaScript,9,2,5,2,9,6,233,1419,https://github.com/truegame/truegame-contracts,truegame,truegame-contracts
Solidity,12,1,1,0,12,7,201,167,https://github.com/muskswap/muskswap,muskswap,muskswap
TypeScript,1,0,3,2,1,0,738,185,https://github.com/zebidata/cricket,zebidata,cricket
"",1,0,11,0,1,0,130,36,https://github.com/wenlambo/wenlambo,wenlambo,wenlambo
Solidity,0,0,1,0,0,0,309,318,https://github.com/tokenfly/franklin-token,tokenfly,franklin-token
Solidity,62,0,1,0,62,20,16,1311,https://github.com/gemini/dollar,gemini,dollar
"",0,0,1,0,0,1,10,274,https://github.com/multi1000aire/safeeth,multi1000aire,safeeth
JavaScript,2,3,12,0,2,0,167,596,https://github.com/triipme/smart-contract,triipme,smart-contract
"",3,0,15,0,3,2,342,1237,https://github.com/scanetchain/scanetchain-erc20-token,scanetchain,scanetchain-erc20-token
C++,125,4,15408,346,125,38,89422,1150,https://github.com/superbitcoin/superbitcoin,superbitcoin,superbitcoin
Solidity,4,0,3,0,4,0,9,299,https://github.com/insuretoken/smartcontract,insuretoken,smartcontract
Solidity,1,0,28,0,1,0,2101,28,https://github.com/marsdogetoken/marsdoge,marsdogetoken,marsdoge
Go,1310,55,12790,412,1310,544,136825,48,https://github.com/binance-chain/bsc,binance-chain,bsc
"",1,0,1,0,1,0,0,538,https://github.com/neerajc4f/financial-investment-token,neerajc4f,financial-investment-token
JavaScript,0,0,7,0,0,0,647,1060,https://github.com/aenco-global/aentoken,aenco-global,aentoken
Solidity,1,0,4,0,1,0,15,66,https://github.com/projectonyxbsc/onyx,projectonyxbsc,onyx
Solidity,1,0,43,3,1,0,356,156,https://github.com/rezerveoneth/rezerve,rezerveoneth,rezerve
"",0,0,0,0,0,0,0,2459602,https://github.com/dexioprotocol/dexi,dexioprotocol,dexi
C,38,1,106,10,38,50,327475,845,https://github.com/pigeoncoin/pigeoncoin,pigeoncoin,pigeoncoin
Solidity,1,0,1,0,1,0,5,107,https://github.com/astronauttoken/polygontoken,astronauttoken,polygontoken
Solidity,2,0,8,0,2,1,19,240,https://github.com/inuxiasi/xiasi-inu-contracts,inuxiasi,xiasi-inu-contracts
Solidity,0,0,4,0,0,0,13,117,https://github.com/mymasterwar/mat-erc20,mymasterwar,mat-erc20
Solidity,4,0,4,0,4,1,23,240,https://github.com/supermoon-finance/supermoon,supermoon-finance,supermoon
Solidity,3,0,3,0,3,1,14,188,https://github.com/nobility-token/nobility-contract,nobility-token,nobility-contract
"",0,0,0,0,0,0,0,2459602,https://github.com/blockchainfor/esbc2,blockchainfor,esbc2
"",1,0,2,0,1,0,1,850,https://github.com/zcore-coin/zcore-source,zcore-coin,zcore-source
"",0,0,5,0,0,0,13,509,https://github.com/nfupio/token,nfupio,token
Solidity,0,0,1,0,0,3,20,180,https://github.com/banketh-finance/banketh,banketh-finance,banketh
C++,1,0,32462,359,1,1,419432,107,https://github.com/soldate/niobiocoin,soldate,niobiocoin
Go,34982,298,13117,419,34982,12971,176037,1,https://github.com/ethereum/go-ethereum,ethereum,go-ethereum
Solidity,0,0,1,0,0,0,7,149,https://github.com/mintyswap/mintyswap,mintyswap,mintyswap
"",0,0,0,0,0,0,0,2459602,https://github.com/hausdao/pokemol-web,hausdao,pokemol-web
C++,7,1,148,5,7,9,5055,1061,https://github.com/masternodespro/mnpcoin,masternodespro,mnpcoin
"",5,1,25,2,5,4,32,1027,https://github.com/rublixdev/hedgtokenmint,rublixdev,hedgtokenmint
Solidity,0,0,3,0,0,1,8,61,https://github.com/black-friday-doge/blackfridaydoge-token,black-friday-doge,blackfridaydoge-token
"",0,0,1,0,0,0,1,876,https://github.com/global-x-change/gxtoken,global-x-change,gxtoken
C++,4,3,140,8,4,11,66405,512,https://github.com/pxn-foundation/peepcoin,pxn-foundation,peepcoin
C++,1111,2,6120,9,1111,245,25365,80,https://github.com/waykichain/waykichain,waykichain,waykichain
C++,38,10,11978,350,38,27,69457,142,https://github.com/zetacoin/zetacoin,zetacoin,zetacoin
C++,3,0,10,0,3,8,4388,835,https://github.com/goldpoker/goldpoker-coin,goldpoker,goldpoker-coin
"",24,0,22,2,24,1,3242,590,https://github.com/blockvio/documentation,blockvio,documentation
"",0,0,0,0,0,0,0,2459602,https://github.com/cobinhood/cobinhood-api-public,cobinhood,cobinhood-api-public
"",0,0,5,0,0,0,13,509,https://github.com/nfupio/token,nfupio,token
Rust,7,0,2270,146,7,3,15772,524,https://github.com/keplernetwork/kepler,keplernetwork,kepler
C++,5,0,20033,357,5,4,155485,215,https://github.com/nexalt-project/nexalt-core,nexalt-project,nexalt-core
Solidity,31,12,513,8,31,17,6094,40,https://github.com/yaxis-project/metavault,yaxis-project,metavault
Solidity,1,0,2,0,1,2,29,93,https://github.com/babyflokidoge/babyflokidogecontract,babyflokidoge,babyflokidogecontract
JavaScript,0,0,136,0,0,0,537,92,https://github.com/dao1official/dao1-contracts,dao1official,dao1-contracts
"",36,26,97,6,36,7,81,32,https://github.com/veriblock/nodecore-releases,veriblock,nodecore-releases
Solidity,1,0,8,0,1,1,5781,458,https://github.com/bananodos/bananodos,bananodos,bananodos
Solidity,1,0,3,0,1,0,13,267,https://github.com/blackjacku/aquari,blackjacku,aquari
C#,3359,139,1330,55,3359,979,8135,50,https://github.com/neo-project/neo,neo-project,neo
"",5,0,4,0,5,6,39,1525,https://github.com/bitcoal/bitcoal,bitcoal,bitcoal
